OBJECTID,GEOID,ZONE_CODE,COUNT,AREA,MEAN
172,42101021500,177,1165,1048500,31.6734627
173,42101021600,178,2336,2102400,30.41915645
174,42101021700,179,1733,1559700,31.79862311
175,42101021800,180,1110,999000,31.78531203
176,42101021900,181,1614,1452600,28.56339246
177,42101022000,182,184,165600,28.60355394
178,42101980100,183,6350,5715000,26.77647803
179,42101023100,184,816,734400,29.75828773
180,42101023500,185,854,768600,28.42973253
181,42101023600,186,1085,976500,29.99682727
182,42101023700,187,1188,1069200,31.36150635
183,42101023800,188,870,783000,32.33131875
184,42101023900,189,543,488700,29.08478823
185,42101024000,190,683,614700,33.19771588
186,42101024100,191,453,407700,33.46532139
187,42101024200,192,589,530100,33.59845074
188,42101024300,193,755,679500,32.63862196
189,42101024400,194,468,421200,34.09145923
190,42101024500,195,899,809100,33.05873157
191,42101024600,196,690,621000,33.65660073
192,42101024700,197,1042,937800,33.28344829
193,42101024800,198,356,320400,33.80508877
194,42101024900,199,362,325800,35.2769337
195,42101025200,200,1058,952200,33.52739928
196,42101025300,201,647,582300,33.61905431
197,42101025400,202,854,768600,32.72514711
198,42101025500,203,850,765000,32.00197179
199,42101025600,204,962,865800,30.9717511
200,42101025700,205,830,747000,32.8339375
201,42101025800,206,649,584100,31.99637941
202,42101025900,207,610,549000,35.018755
203,42101026000,208,604,543600,33.9169982
204,42101026100,209,723,650700,34.26056643
205,42101026200,210,621,558900,34.21185082
206,42101034801,211,1546,1391400,32.80670669
207,42101026302,212,779,701100,35.18072091
208,42101026400,213,886,797400,34.14583882
209,42101026500,214,610,549000,35.13041982
210,42101026600,215,1014,912600,33.92333301
211,42101026700,216,712,640800,36.05113962
212,42101000100,217,781,702900,34.25945072
213,42101000200,218,421,378900,36.2050803
214,42101000300,219,612,550800,33.43212217
215,42101000500,220,476,428400,35.60476691
216,42101000600,221,192,172800,34.80534267
217,42101000700,222,282,253800,34.24071422
218,42101001300,223,872,784800,35.31271173
219,42101001400,224,352,316800,34.99843355
220,42101001500,225,265,238500,35.12150522
221,42101026800,226,859,773100,33.95728239
222,42101026900,227,678,610200,31.77604401
223,42101027000,228,716,644400,32.28078277
224,42101027100,229,458,412200,34.30681407
225,42101027200,230,751,675900,33.96394627
226,42101027300,231,1059,953100,34.45099569
227,42101027500,232,677,609300,34.37403939
228,42101027600,233,735,661500,34.80460197
229,42101027700,234,602,541800,35.31405868
230,42101027800,235,803,722700,35.25753655
231,42101028000,236,796,716400,35.09595516
232,42101001600,237,218,196200,35.18765441
233,42101001700,238,247,222300,34.93454363
234,42101001800,239,269,242100,35.23505229
235,42101001900,240,364,327600,36.57731578
236,42101002000,241,320,288000,36.84911966
237,42101002100,242,263,236700,37.15590201
238,42101002200,243,254,228600,37.04238135
239,42101002300,244,237,213300,35.78915624
240,42101002400,245,595,535500,36.23623524
241,42101002500,246,442,397800,35.4254352
242,42101002900,247,410,369000,34.97039028
243,42101003100,248,440,396000,36.73161066
244,42101003200,249,545,490500,36.58088093
245,42101003300,250,1266,1139400,34.75463185
246,42101028100,251,561,504900,34.40058015
247,42101028200,252,948,853200,35.35727321
248,42101028300,253,751,675900,35.48120081
249,42101028400,254,545,490500,35.27802992
250,42101028500,255,292,262800,35.66567429
251,42101028600,256,797,717300,35.88129589
252,42101028700,257,380,342000,36.41324768
253,42101028800,258,492,442800,35.92173854
254,42101029000,259,930,837000,33.2768028
255,42101029100,260,1476,1328400,34.33623343
256,42101029200,261,1952,1756800,30.66294484
257,42101029300,262,766,689400,34.14723504
258,42101001002,263,524,471600,33.78028031
259,42101001001,264,255,229500,33.03285068
260,42101000402,265,337,303300,32.54190679
261,42101000401,266,254,228600,33.21054341
262,42101012204,267,1004,903600,32.40827355
263,42101012203,268,253,227700,33.27095774
264,42101013602,269,265,238500,34.3011189
265,42101034501,270,501,450900,33.17207876
266,42101034502,271,1123,1010700,34.34389704
267,42101001102,272,226,203400,34.44526996
268,42101000902,273,172,154800,33.88976128
