GEOID,MEDIAN
42101026800,63.43612862
42101014400,64.78955078
42101036600,59.06576538
42101020900,64.84915924
42101021000,65.58763885
42101021100,64.0510025
42101021200,63.94226837
42101021400,64.67820358
42101021500,64.45740509
42101015600,64.07309341
42101015700,55.98340607
42101015800,60.39317322
42101016100,59.62151146
42101016200,60.84321213
42101016300,61.52552032
42101016400,62.58837509
42101016500,54.24107361
42101016600,54.62104797
42101016002,66.03066254
42101016001,65.94470215
42101039002,64.87927246
42101018801,52.60306549
42101039001,66.27177048
42101004104,68.28050995
42101004103,68.20546722
42101980702,67.43381119
42101989200,64.18387604
42101000102,65.5498848
42101036901,65.09991455
42101001204,67.05572128
42101980001,61.64521408
42101036902,66.54869843
42101020702,62.42832184
42101013702,63.72962952
42101020701,63.065979
42101012502,62.76557541
42101018802,54.19890594
42101014201,64.83840179
42101014202,60.30960083
42101000101,64.75560379
42101980002,61.987957
42101980901,64.37701035
42101000404,63.76963425
42101012501,65.09901428
42101000403,64.01763916
42101000701,65.55877304
42101000805,65.70011139
42101000806,64.62906647
42101989300,63.85582542
42101016901,65.36090088
42101017000,62.73788452
42101017100,66.61775589
42101017202,67.85531235
42101027401,63.81892776
42101020101,65.27144623
42101028901,65.30142212
42101030501,65.74982071
42101016702,59.15629005
42101008802,64.67342377
42101021600,62.40291977
42101021700,64.86456299
42101021900,62.06335449
42101022000,61.11827087
42101023100,60.83783722
42101023500,60.82492256
42101023600,61.36306763
42101023700,61.78490067
42101023900,60.01353073
42101024000,63.78984833
42101024100,63.2602272
42101014900,63.22064972
42101014700,53.0759964
42101014800,52.23540306
42101024200,64.21658325
42101024300,64.6142807
42101024500,62.1122551
42101024600,63.6163044
42101017300,64.10927582
42101017400,63.24072456
42101017500,63.57995033
42101017601,53.56271744
42101024700,60.1617527
42101024900,57.81114006
42101025200,64.23116302
42101025400,59.29085159
42101001203,66.84403992
42101001302,67.14560699
42101013701,63.92529297
42101980003,66.07941818
42101001301,67.6456871
42101000702,66.44060135
42101980701,67.80865479
42101038301,65.65676498
42101035701,66.18863678
42101035702,64.49893951
42101033701,61.32705688
42101033702,63.90906143
42101020102,67.36125183
42101031101,67.06049347
42101031102,65.5414238
42101019502,62.91802216
42101019501,61.03840828
42101028902,64.08069229
42101033101,66.51583862
42101033102,65.91959381
42101031501,65.86204529
42101001102,66.20843124
42101000803,66.16102982
42101017201,66.84417725
42101980800,62.34554863
42101008601,65.54865646
42101037700,59.44536591
42101010700,58.86016464
42101010800,61.86447906
42101010600,64.01841736
42101005400,62.47383881
42101005500,65.62387848
42101012204,59.80966377
42101012203,62.0703907
42101013602,54.37776947
42101034502,63.89310646
42101000902,64.54381561
42101001201,65.56113052
42101002702,66.78579712
